sex,type,year,Freq
female,lowest upperbound,2010,34
female,lowest upperbound,2011,51
female,lowest upperbound,2012,70
female,lowest upperbound,2013,76
female,lowest upperbound,2014,68
female,lowest upperbound,2015,88
female,lowest upperbound,2016,88
female,lowest upperbound,2017,74
female,lowest upperbound,2018,93
female,lowest upperbound,2019,95
female,lowest upperbound,2020,91
female,lowest upperbound,2021,98
female,lowest upperbound,2022,96
female,lowest upperbound,2023,97
male,lowest upperbound,2010,31
male,lowest upperbound,2011,50
male,lowest upperbound,2012,73
male,lowest upperbound,2013,79
male,lowest upperbound,2014,67
male,lowest upperbound,2015,87
male,lowest upperbound,2016,89
male,lowest upperbound,2017,75
male,lowest upperbound,2018,93
male,lowest upperbound,2019,93
male,lowest upperbound,2020,91
male,lowest upperbound,2021,99
male,lowest upperbound,2022,92
male,lowest upperbound,2023,97
female,lowest lowerbound,2010,46
female,lowest lowerbound,2011,48
female,lowest lowerbound,2012,79
female,lowest lowerbound,2013,48
female,lowest lowerbound,2014,62
female,lowest lowerbound,2015,39
female,lowest lowerbound,2016,15
female,lowest lowerbound,2017,56
female,lowest lowerbound,2018,63
female,lowest lowerbound,2019,0
female,lowest lowerbound,2020,0
female,lowest lowerbound,2021,0
female,lowest lowerbound,2022,0
female,lowest lowerbound,2023,84
male,lowest lowerbound,2010,45
male,lowest lowerbound,2011,50
male,lowest lowerbound,2012,82
male,lowest lowerbound,2013,46
male,lowest lowerbound,2014,65
male,lowest lowerbound,2015,37
male,lowest lowerbound,2016,17
male,lowest lowerbound,2017,58
male,lowest lowerbound,2018,68
male,lowest lowerbound,2019,0
male,lowest lowerbound,2020,0
male,lowest lowerbound,2021,0
male,lowest lowerbound,2022,0
male,lowest lowerbound,2023,83
female,highest upperbound,2010,83
female,highest upperbound,2011,50
female,highest upperbound,2012,26
female,highest upperbound,2013,43
female,highest upperbound,2014,0
female,highest upperbound,2015,0
female,highest upperbound,2016,79
female,highest upperbound,2017,0
female,highest upperbound,2018,0
female,highest upperbound,2019,63
female,highest upperbound,2020,49
female,highest upperbound,2021,51
female,highest upperbound,2022,26
female,highest upperbound,2023,6
male,highest upperbound,2010,69
male,highest upperbound,2011,53
male,highest upperbound,2012,24
male,highest upperbound,2013,37
male,highest upperbound,2014,0
male,highest upperbound,2015,0
male,highest upperbound,2016,81
male,highest upperbound,2017,0
male,highest upperbound,2018,0
male,highest upperbound,2019,58
male,highest upperbound,2020,55
male,highest upperbound,2021,55
male,highest upperbound,2022,23
male,highest upperbound,2023,2
female,highest lowerbound,2010,83
female,highest lowerbound,2011,50
female,highest lowerbound,2012,26
female,highest lowerbound,2013,43
female,highest lowerbound,2014,0
female,highest lowerbound,2015,0
female,highest lowerbound,2016,79
female,highest lowerbound,2017,0
female,highest lowerbound,2018,0
female,highest lowerbound,2019,63
female,highest lowerbound,2020,49
female,highest lowerbound,2021,51
female,highest lowerbound,2022,26
female,highest lowerbound,2023,6
male,highest lowerbound,2010,69
male,highest lowerbound,2011,53
male,highest lowerbound,2012,24
male,highest lowerbound,2013,37
male,highest lowerbound,2014,0
male,highest lowerbound,2015,0
male,highest lowerbound,2016,81
male,highest lowerbound,2017,0
male,highest lowerbound,2018,0
male,highest lowerbound,2019,58
male,highest lowerbound,2020,55
male,highest lowerbound,2021,55
male,highest lowerbound,2022,23
male,highest lowerbound,2023,2
